"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-09-14,1.97661839156829,1.39319528495733,2.55999687471012,1.00142541297384,-3.28469552275423,-4.24357514048828,-2.32710623960108,1.00223841911144,-1.30807713118594,-2.85037985553095,0.232890635109035,1.54081676899665,1.00283451953365
"sfkeel_mir_2023",2023-09-15,2.40214574240373,1.82409974794095,2.97086843440892,1.0008543314895,-3.35748451176182,-4.29807644950732,-2.39165071553242,1.00136527540921,-0.95533876935809,-2.47397670156637,0.579217718876507,1.23009993451806,1.00475034128504
"sfkeel_mir_2023",2023-09-16,2.36736427208102,1.80861631289318,2.9308493992752,1.00027638380111,-3.25937784987405,-4.19176725717584,-2.32363535061536,1.00085488170746,-0.892013577793028,-2.38315094428266,0.607214048659841,1.07130811339677,1.00851815808898
"sfkeel_mir_2023",2023-09-17,2.20274076221401,1.66544632424311,2.74909315377533,1.00010024559062,-2.8159841338055,-3.71439245971106,-1.90453275507331,1.00033599226325,-0.613243371591492,-2.04894613546795,0.844560398702024,1.01836183219461,1.0045118312432
"sfkeel_mir_2023",2023-09-18,1.85572676284806,1.31440014448472,2.39684393763788,1.00008051993157,-2.59986723385715,-3.49770530264698,-1.70038053481881,1.00025421739856,-0.744140471009083,-2.18330515816226,0.69646340281907,0.950277462112745,1.00794194290716
"sfkeel_mir_2023",2023-09-19,1.98738659866574,1.45562957761653,2.51838495252398,1.00023957588221,-2.61852675702439,-3.51046451644755,-1.72048711446793,1.00219925723186,-0.631140158358654,-2.05483493883102,0.797897838056044,0.950524694433311,1.0092456971678
"sfkeel_mir_2023",2023-09-20,2.14157502845602,1.60669122942686,2.67001513308979,1.00126556007995,-2.58987581451463,-3.46776060368471,-1.71849466752,1.00248269042316,-0.448300786058608,-1.86106937425785,0.951520465569788,0.952001646031938,1.00577384967976
"sfkeel_mir_2023",2023-09-21,1.77224474800776,1.23782331942581,2.30563065335463,1.00030248203463,-2.25855307986368,-3.10771432987438,-1.40741170361575,1.00092020176551,-0.48630833185592,-1.86989101044857,0.898218949738875,0.926678470041001,1.00504739448478
"sfkeel_mir_2023",2023-09-22,1.72148320639954,1.19980313253993,2.23469331689037,1.00102478360996,-2.30663396822427,-3.17425259900381,-1.4110209786088,1.00352719699776,-0.585150761824728,-1.97444946646388,0.823672338281571,0.922893958905862,1.01445522812471
"sfkeel_mir_2023",2023-09-23,1.37687436490069,0.858333998808676,1.88801018767001,1.0004002842144,-1.95379038975796,-2.80676672080134,-1.09846518111709,1.00127894607154,-0.576916024857263,-1.94843272199266,0.789545006552914,0.919821832473805,1.00769944571707
"sfkeel_mir_2023",2023-09-24,1.90703458392673,1.38687522562506,2.42884147130222,1.00040436766213,-2.48064689028443,-3.33823348564646,-1.63044935138929,1.00124627610958,-0.573612306357693,-1.95135826002139,0.798392119912931,0.937724069014383,1.00526500466828
"sfkeel_mir_2023",2023-09-25,1.30976556536773,0.778375765230551,1.85419971610244,1.00046356945552,-2.52032860084195,-3.43245631280987,-1.62069071955936,1.00128548052964,-1.21056303547422,-2.65408054757932,0.233508996543079,1.20037928771068,1.00283802630795
"sfkeel_mir_2023",2023-09-26,1.73155672287715,1.15452153001453,2.32268571854786,1.00072590886533,-3.4871585072502,-4.48059535542071,-2.51247857700849,1.00110242789844,-1.75560178437305,-3.32607382540618,-0.189792858460631,2.50502095361935,1.00275052908278
